Date,Price,Open,High,Low,Vol.,Change %
01/06/2009,1.2395,1.2452,1.284,1.2099,,-0.69%
01/05/2009,1.2481,1.3787,1.3809,1.2473,,-9.44%
01/04/2009,1.3782,1.4464,1.4588,1.3541,,-4.61%
01/03/2009,1.4448,1.565,1.5911,1.4097,,-7.56%
01/02/2009,1.5629,1.5732,1.6011,1.4598,,-0.75%
01/01/2009,1.5747,1.4233,1.5764,1.3759,,11.42%
01/12/2008,1.4133,1.5317,1.5893,1.4007,,-7.55%
01/11/2008,1.5287,1.4963,1.6461,1.4255,,2.10%
01/10/2008,1.4973,1.258,1.6647,1.247,,18.95%
01/09/2008,1.2588,1.1674,1.2818,1.1648,,8.03%
01/08/2008,1.1652,1.0621,1.1776,1.0615,,9.75%
01/07/2008,1.0617,1.0434,1.0642,1.015,,1.70%
01/06/2008,1.044,1.0471,1.0723,1.034,,-0.20%
01/05/2008,1.0461,1.06,1.0783,1.0355,,-1.40%
01/04/2008,1.061,1.0946,1.1075,1.0478,,-3.10%
01/03/2008,1.0949,1.0719,1.1169,1.0554,,1.96%
01/02/2008,1.0739,1.1164,1.1268,1.0525,,-3.75%
01/01/2008,1.1157,1.1431,1.1745,1.1083,,-2.27%
01/12/2007,1.1416,1.1324,1.1693,1.1225,,0.96%
01/11/2007,1.1308,1.0725,1.1556,1.0635,,5.54%
01/10/2007,1.0714,1.1256,1.1429,1.0699,,-4.93%
01/09/2007,1.1269,1.2252,1.2256,1.1247,,-7.84%
01/08/2007,1.2228,1.1756,1.3029,1.1539,,4.06%
01/07/2007,1.1751,1.1726,1.1824,1.1268,,-0.26%
01/06/2007,1.1782,1.2077,1.2094,1.1732,,-2.49%
01/05/2007,1.2083,1.2048,1.225,1.1967,,0.35%
01/04/2007,1.2041,1.2343,1.2401,1.1909,,-2.64%
01/03/2007,1.2368,1.2694,1.3018,1.2302,,-2.55%
01/02/2007,1.2691,1.2868,1.2974,1.2579,,-1.44%
01/01/2007,1.2877,1.2686,1.2992,1.2519,,1.65%
01/12/2006,1.2668,1.2671,1.2852,1.2602,,-0.10%
01/11/2006,1.2681,1.2918,1.3135,1.2647,,-1.82%
01/10/2006,1.2916,1.3416,1.3487,1.289,,-3.60%
01/09/2006,1.3398,1.3096,1.3453,1.2945,,2.35%
01/08/2006,1.309,1.306,1.3247,1.2955,,0.30%
01/07/2006,1.3051,1.345,1.3519,1.3017,,-3.13%
01/06/2006,1.3472,1.3296,1.3756,1.3245,,1.35%
01/05/2006,1.3293,1.3177,1.3394,1.2825,,0.72%
01/04/2006,1.3198,1.3963,1.4055,1.3139,,-5.42%
01/03/2006,1.3955,1.3463,1.4255,1.333,,3.63%
01/02/2006,1.3466,1.3184,1.3619,1.317,,2.17%
01/01/2006,1.318,1.3639,1.3673,1.3172,,-3.32%
01/12/2005,1.3632,1.3552,1.3824,1.3187,,0.65%
01/11/2005,1.3544,1.3362,1.3769,1.3356,,1.37%
01/10/2005,1.3361,1.3108,1.3444,1.3074,,1.75%
01/09/2005,1.3131,1.3249,1.3281,1.2875,,-0.86%
01/08/2005,1.3245,1.3222,1.3411,1.289,,0.22%
01/07/2005,1.3216,1.3108,1.3579,1.3002,,0.78%
01/06/2005,1.3114,1.3229,1.338,1.2799,,-0.89%
01/05/2005,1.3232,1.2812,1.3281,1.2771,,3.34%
01/04/2005,1.2804,1.2935,1.3118,1.2747,,-1.11%
01/03/2005,1.2948,1.2626,1.3039,1.2511,,2.61%
01/02/2005,1.2619,1.2893,1.3141,1.2563,,-2.19%
01/01/2005,1.2901,1.2804,1.3325,1.2768,,0.95%
01/12/2004,1.2779,1.2935,1.3436,1.2742,,-1.35%
01/11/2004,1.2954,1.3348,1.3449,1.2579,,-3.02%
01/10/2004,1.3357,1.3759,1.3915,1.3307,,-2.86%
01/09/2004,1.375,1.4174,1.459,1.3719,,-3.11%
01/08/2004,1.4191,1.4192,1.4369,1.3763,,-0.29%
01/07/2004,1.4232,1.4304,1.4425,1.3605,,-0.60%
01/06/2004,1.4318,1.3966,1.4733,1.3935,,2.40%
01/05/2004,1.3983,1.3831,1.4711,1.3613,,0.79%
01/04/2004,1.3874,1.304,1.4032,1.2992,,6.31%
01/03/2004,1.3051,1.2933,1.3787,1.2863,,0.98%
01/02/2004,1.2924,1.3096,1.3226,1.2473,,-1.28%
01/01/2004,1.3092,1.3277,1.3333,1.2791,,-1.56%
01/12/2003,1.33,1.3808,1.3827,1.3261,,-3.61%
01/11/2003,1.3798,1.4132,1.4365,1.3765,,-2.27%
01/10/2003,1.4119,1.4695,1.4789,1.4065,,-3.93%
01/09/2003,1.4697,1.5451,1.5768,1.4554,,-4.83%
01/08/2003,1.5443,1.5415,1.5737,1.5094,,0.14%
01/07/2003,1.5421,1.4841,1.5527,1.4599,,3.87%
01/06/2003,1.4847,1.5375,1.5433,1.4819,,-2.88%
01/05/2003,1.5287,1.5959,1.599,1.5088,,-4.17%
01/04/2003,1.5953,1.6529,1.6879,1.5946,,-3.60%
01/03/2003,1.6549,1.645,1.7005,1.6168,,0.72%
01/02/2003,1.643,1.7039,1.7174,1.6415,,-3.48%
01/01/2003,1.7023,1.7771,1.7811,1.6821,,-4.47%
01/12/2002,1.782,1.7828,1.8007,1.7562,,-0.09%
01/11/2002,1.7836,1.8038,1.8046,1.7606,,-1.02%
01/10/2002,1.802,1.843,1.8513,1.7864,,-2.24%
01/09/2002,1.8432,1.8175,1.8538,1.8051,,1.53%
01/08/2002,1.8154,1.843,1.9125,1.8012,,-1.36%
01/07/2002,1.8404,1.7746,1.8711,1.7495,,3.71%
01/06/2002,1.7745,1.7599,1.7997,1.7247,,0.68%
01/05/2002,1.7626,1.8553,1.8717,1.7544,,-5.08%
01/04/2002,1.8569,1.8748,1.9017,1.8315,,-0.92%
01/03/2002,1.8742,1.9309,1.9359,1.8657,,-3.10%
01/02/2002,1.9341,1.967,1.9788,1.9231,,-1.74%
01/01/2002,1.9683,1.9592,1.9796,1.8957,,0.55%
01/12/2001,1.9575,1.9146,1.9847,1.9135,,2.15%
01/11/2001,1.9163,1.9861,1.9898,1.9026,,-3.56%
01/10/2001,1.9871,2.0284,2.041,1.9331,,-2.39%
01/09/2001,2.0357,1.8921,2.0744,1.8904,,7.78%
01/08/2001,1.8887,1.9608,1.9689,1.8532,,-3.72%
01/07/2001,1.9617,1.955,1.9953,1.9128,,0.33%
01/06/2001,1.9552,1.9724,1.9854,1.885,,-1.09%
01/05/2001,1.9768,1.9493,1.9874,1.8783,,1.28%
01/04/2001,1.9518,2.0563,2.0939,1.9231,,-5.27%
01/03/2001,2.0604,1.8879,2.0634,1.8861,,8.15%
01/02/2001,1.9051,1.9091,1.9051,1.9091,,4.77%
01/01/2001,1.8184,1.8215,1.8184,1.8215,,1.32%
01/12/2000,1.7947,1.7989,1.7947,1.7989,,-5.37%
01/11/2000,1.8966,1.9004,1.8966,1.9004,,-1.58%
01/10/2000,1.927,1.9312,1.927,1.9312,,4.45%
01/09/2000,1.8449,1.8464,1.8449,1.8464,,6.46%
01/08/2000,1.733,1.7319,1.733,1.7319,,0.43%
01/07/2000,1.7255,1.7277,1.7255,1.7277,,3.24%
01/06/2000,1.6714,1.6661,1.6714,1.6661,,-4.51%
01/05/2000,1.7504,1.7532,1.7504,1.7532,,2.17%
01/04/2000,1.7132,1.7129,1.7132,1.7129,,4.02%
01/03/2000,1.647,1.6474,1.647,1.6474,,1.55%
01/02/2000,1.6219,1.6273,1.6219,1.6273,,3.35%
01/01/2000,1.5694,1.5679,1.5694,1.5679,,2.81%
